
Gurobi 10.0.1 (win64) logging started Sat May  2 18:25:03 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_55j_seed1\log\exp_7f_55j_seed1_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 146431 rows, 73150 columns and 722192 nonzeros
Model fingerprint: 0x51efa01c
Variable types: 1430 continuous, 71720 integer (71720 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [3e+01, 2e+03]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 4e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 91735 rows and 45747 columns
Presolve time: 0.62s
Presolved: 54696 rows, 27403 columns, 267858 nonzeros
Variable types: 905 continuous, 26498 integer (26498 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 54696 rows, 27403 columns, 267858 nonzeros

Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 2.474778e+04, 2777 iterations, 0.21 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     7    16 24538.9817    3  597 16134.8570 24657.3520  52.8%  1658   30s
    31    52 24465.9126    5  615 16134.8570 24645.9941  52.7%  1850   51s
   242   238 24414.6985   14  590 16134.8570 24645.9941  52.7%   777   55s
   299   264 24414.0031   15  574 16134.8570 24645.9941  52.7%   749   75s
H  309   264                    16171.251608 24645.9941  52.4%   739   75s
   680   577 22455.2082   23  422 16171.2516 24615.8974  52.2%   628   80s
  1216  1035 20200.2830   52  293 16171.2516 24615.8974  52.2%   440   85s
  2028  1696 16535.4500  102   95 16171.2516 24615.3703  52.2%   326   90s
  2447  1835 22607.0723   62  472 16171.2516 24605.2899  52.2%   295  108s
  2449  1836 22423.6178   39  738 16171.2516 24605.2899  52.2%   295  114s
  2454  1840 21384.3895   51  631 16171.2516 24605.2899  52.2%   295  115s
  2473  1854 24525.9724    8  257 16171.2516 24605.2899  52.2%   297  120s
H 2777  1971                    16505.395711 24605.2899  49.1%  23.2  125s
H 2785  1880                    16514.967921 24605.2899  49.0%  23.4  125s
H 2789  1794                    16694.622839 24605.2899  47.4%  23.6  125s
H 2833  1753                    17040.049174 24605.2899  44.4%  25.9  126s
H 2850  1672                    17082.750028 24605.2899  44.0%  26.3  126s
  3801  2191 23213.2399   56  198 17082.7500 24605.2899  44.0%  35.3  130s
H 3895  2112                    17183.500272 24605.2899  43.2%  35.7  131s
H 3895  2043                    17270.118542 24605.2899  42.5%  35.7  131s
H 3907  1974                    17271.995281 24605.2899  42.5%  35.7  131s
H 5053  2535                    17375.852362 24605.2899  41.6%  37.6  135s
H 5065  2471                    17452.429053 24605.2899  41.0%  37.6  135s
H 5081  2408                    17508.014098 24605.2899  40.5%  37.6  135s
H 5168  2324                    17595.351623 24605.2899  39.8%  37.9  135s
H 5898  2890                    17625.259269 24605.2899  39.6%  38.0  138s
H 5904  2888                    17668.561149 24605.2899  39.3%  38.0  138s
H 5912  2878                    17713.262017 24605.2899  38.9%  37.9  138s
H 5918  2864                    17760.872421 24605.2899  38.5%  37.9  138s
H 5956  2864                    17765.185959 24605.2899  38.5%  37.9  138s
H 5972  2863                    17808.295171 24605.2899  38.2%  37.9  138s
  6839  3681 19989.3736  132   82 17808.2952 24605.2899  38.2%  38.8  140s
H 7139  3790                    18077.883572 24605.2899  36.1%  38.8  141s
H 8462  4783                    18156.606132 24605.2899  35.5%  38.9  144s
  8600  5166 18951.7287  169   53 18156.6061 24605.2899  35.5%  39.2  145s
H 9435  5573                    18346.609213 24605.2899  34.1%  39.1  147s
H10941  6817                    18389.995272 24598.4851  33.8%  39.6  150s
H11974  7543                    18392.441713 24598.4851  33.7%  39.5  153s
 12850  8467 22715.7720   46  223 18392.4417 24572.4532  33.6%  39.6  155s
H13501  8863                    18392.441715 24572.4532  33.6%  39.7  156s
 15211 10271 24105.5280   39  223 18392.4417 24504.5830  33.2%  40.5  160s
H16150 10622                    18491.144292 24504.5830  32.5%  40.4  162s
H16273 10419                    18694.757020 24504.5830  31.1%  40.5  162s
 17902 12109 21612.2983   71  160 18694.7570 24501.8211  31.1%  41.3  166s
H18359 12109                    18694.757023 24501.8211  31.1%  41.3  166s
 19623 13377 23148.1889   50  209 18694.7570 24456.1035  30.8%  41.4  188s
 20523 14310 21485.1612   97  130 18694.7570 24456.1035  30.8%  41.5  191s
H22310 14879                    18737.759687 24456.1035  30.5%  41.3  194s
 22980 15887 23053.5300   45  165 18737.7597 24456.1035  30.5%  41.2  198s
 24598 16636 20411.0383   78  139 18737.7597 24443.2462  30.4%  41.4  200s
H25056 16636                    18737.759689 24420.1951  30.3%  41.4  200s
 27926 19474 21587.3036   82  133 18737.7597 24384.3984  30.1%  41.2  206s
 30773 21929 19597.3033  154   40 18737.7597 24384.3984  30.1%  40.7  210s
 35065 24847 infeasible   55      18737.7597 24379.4735  30.1%  39.9  216s
 37428 26940 19599.6588  133  107 18737.7597 24379.4735  30.1%  40.0  220s
 39003 28140 24159.9733   49  210 18737.7597 24375.4323  30.1%  40.1  226s
 42399 30526 20346.7205  138  102 18737.7597 24375.4323  30.1%  40.0  232s
 44044 31956 19609.8563  156   85 18737.7597 24375.4323  30.1%  40.0  235s
 45843 31957 21476.7323  103  472 18737.7597 24373.0375  30.1%  40.1  401s
 45847 31960 23236.0629   61  242 18737.7597 24373.0375  30.1%  40.1  405s
 45854 31964 19354.1821   57  215 18737.7597 24373.0375  30.1%  40.1  413s
 45856 31966 22529.1378   68  229 18737.7597 24373.0375  30.1%  40.1  418s
