var_type,var_name,order,factory,value,binary_value
z,"z[41,5]",41,5,0.0,0
z,"z[42,1]",42,1,0.0,0
z,"z[42,3]",42,3,0.0,0
z,"z[42,4]",42,4,-0.0,0
z,"z[42,5]",42,5,1.0,1
z,"z[43,2]",43,2,1.0,1
z,"z[43,3]",43,3,0.0,0
z,"z[43,4]",43,4,-0.0,0
z,"z[43,5]",43,5,-0.0,0
z,"z[44,3]",44,3,-0.0,0
z,"z[44,4]",44,4,-0.0,0
z,"z[44,5]",44,5,1.0,1
z,"z[45,1]",45,1,0.0,0
z,"z[45,3]",45,3,0.0,0
z,"z[45,4]",45,4,-0.0,0
z,"z[45,5]",45,5,-0.0,0
z,"z[46,1]",46,1,0.0,0
z,"z[46,3]",46,3,0.0,0
z,"z[46,5]",46,5,1.0,1
z,"z[47,1]",47,1,0.0,0
z,"z[47,3]",47,3,0.0,0
z,"z[47,5]",47,5,1.0,1
z,"z[48,1]",48,1,0.0,0
z,"z[48,2]",48,2,1.0,1
z,"z[48,4]",48,4,-0.0,0
z,"z[48,5]",48,5,-0.0,0
z,"z[49,1]",49,1,0.0,0
z,"z[49,4]",49,4,1.0,1
z,"z[49,5]",49,5,-0.0,0
z,"z[50,1]",50,1,0.0,0
z,"z[50,2]",50,2,-0.0,0
z,"z[50,3]",50,3,0.0,0
z,"z[50,4]",50,4,0.9999999999999991,1
